"AUTEUR	DATUM	PARTIJ	CONTENT";;;;
"Jasper van Dijk	12-04-2020 23:54:05	SP	Jasper van Dijk (@JaspervanDijkSP): RT @VPROTegenlicht: ‘Laat de superrijken gewoon hun belastingen betalen . #tegenlicht https://t.co/zARCpeS1pG";;;;
"Thierry Baudet	12-04-2020 23:28:26	FvD	Thierry Baudet (@thierrybaudet): RT @hvelzing: De politiek in het bijzonder #D66 #GL @COCNederland kijken weg hebben het druk met Polen en Hongarije te bekritiseren. #homogeweld https://t.co/xXGzVNE0AP";;;;
"Thierry Baudet	12-04-2020 23:15:14	FvD	Thierry Baudet (@thierrybaudet): RT @thierrybaudet: De euro strompelt van crisis naar crisis. De huidige situatie is onhoudbaar en benadeelt zowel Noord-Europa als Zuid-Europa. Het is tijd om de euro te ontvlechten. #FVD https://t.co/lWZ2qJ5iIZ via @fvdemocratie";;;;
"Thierry Baudet	12-04-2020 23:15:06	FvD	Thierry Baudet (@thierrybaudet): RT @thierrybaudet: Intelligente exit-strategie is nu nodig! https://t.co/7Xjip6Uo6J via @YouTube";;;;
"Mahir Alkaya	12-04-2020 23:07:32	SP	Mahir Alkaya (@MahirAlkaya): Op uitnodiging van @SPnl kwam @AnandWrites naar de Tweede Kamer. Te zien in Tegenlicht: Over superrijken die geen belasting betalen, dus niet bijdragen maar wel profiteren van de samenleving en vervolgens mooi sier maken met kruimeltjes liefdadigheid. Waarom pikken wij dit nog? https://t.co/Fd43zjClt5";;;;
"Mahir Alkaya	12-04-2020 22:30:27	SP	Mahir Alkaya (@MahirAlkaya): RT @VPROTegenlicht: Een succesvolle maatschappij is een vooruitgangsmachine, maar die machine is kapot - schrijver Anand Giridharadas #tegenlicht https://t.co/PqJ0WMZ12L";;;;
"Mahir Alkaya	12-04-2020 22:29:56	SP	Mahir Alkaya (@MahirAlkaya): RT @VPROTegenlicht: Ook Nederland is een veel ongelijker land dan we denken, zegt de Franse econoom Thomas Piketty. #tegenlicht Wie krijgen tijdens de recessie straks de hardste klappen? https://t.co/t7UhsWnSAk";;;;
"Henk Nijboer	12-04-2020 22:23:11	PvdA	Henk Nijboer (@henknijboer): RT @Pvda050: Geweldig hoe Groningers elkaar helpen tijdens deze coronacrisis. Maar we willen ook weten waar mensen in de knel zitten. Ook van jou! Want we mogen niemand vergeten. Laat je het ons weten? #vrolijkpasen #blijfthuis #coronavirus https://t.co/I1r3HVelbF";;;;
"Rene Peters	12-04-2020 22:21:58	onbekend	Rene Peters (@RenePetersOss): RT @eefhoedemaeker: #Baudet gisteren bij GeenStijl: ‘en dan hebben wij Hugo de Jonge! Voel je je dan veilig? Denk je dan yes? Of denk je dan oef, dat is toch een ander kaliber politicus dan Donald Trump? Ja Thierry: dat denken we: we zijn heel blij Hugo te hebben en geen Donald! https://t.co/rLzO9LFXPw";;;;
"Martin van Rooijen	12-04-2020 22:21:34	50Plus	Martin van Rooijen (@MvRooijen): RT @dft: Tanken weer duurder dankzij dramatische productiebeperking #Opec+ #oil @shell #pomp @bp #russia #opec https://t.co/OjyZ76uwJH via @telegraaf";;;;
